t,pSv,pSh,pSr,pIv,pIh,pIr,pRv,pRh,pRr
174,0.84266,0.792895,0.78268,0.00973425,0.02509925,0.02930185,0.003075083,0.1820065,9.024936
175,0.84156,0.789105,0.77815,0.01008725,0.02638915,0.0308411,0.003090729,0.184508,9.168408
176,0.840395,0.785085,0.77335,0.0104601,0.02775885,0.0324742,0.003107208,0.1871575,9.320352
177,0.839165,0.780825,0.76827,0.0108534,0.0292117,0.0342049,0.003124583,0.189964,9.481296
178,0.837875,0.77631,0.762885,0.01126755,0.0307509,0.0360366,0.003142875,0.192937,9.651768
179,0.836515,0.771535,0.75719,0.0117031,0.0323793,0.0379722,0.003162156,0.1960865,9.832296
180,0.83508,0.76648,0.751165,0.01216025,0.03409945,0.0400144,0.003182469,0.199423,10.023456
181,0.833575,0.76113,0.744795,0.0126393,0.0359135,0.042165,0.003203865,0.2029555,10.225824
182,0.831995,0.75548,0.738075,0.01314025,0.0378229,0.04442525,0.003226385,0.206696,10.439976
183,0.830335,0.74952,0.730985,0.0136631,0.0398286,0.0467954,0.003250094,0.210654,10.666488
184,0.82859,0.74323,0.72352,0.0142075,0.0419306,0.0492747,0.003275021,0.2148405,10.905936
185,0.82677,0.736605,0.71566,0.01477295,0.04412815,0.051861,0.00330124,0.219266,11.158896
186,0.82486,0.72964,0.70741,0.0153588,0.0464192,0.0545515,0.003328781,0.223941,11.425944
187,0.822865,0.722325,0.69875,0.015964,0.04880065,0.0573405,0.003357688,0.2288755,11.70756
188,0.82079,0.714655,0.68969,0.0165872,0.051268,0.0602215,0.00338801,0.2340795,12.004296
189,0.818625,0.706625,0.68022,0.01722685,0.053815,0.0631865,0.003419792,0.239561,12.31656
190,0.816375,0.698235,0.670345,0.017881,0.0564345,0.0662245,0.003453042,0.2453285,12.64476
191,0.81404,0.689495,0.66007,0.01854725,0.059117,0.069323,0.003487813,0.25139,12.989232
192,0.81162,0.6804,0.6494,0.01922295,0.0618515,0.0724675,0.003524115,0.25775,13.35024
193,0.80912,0.67096,0.63836,0.019905,0.064625,0.0756415,0.003561969,0.2644135,13.727928
194,0.806545,0.661195,0.626955,0.02058995,0.067423,0.078826,0.003601385,0.271384,14.122392
195,0.803895,0.65111,0.615215,0.02127405,0.070229,0.0820005,0.003642344,0.278662,14.53356
196,0.801175,0.640725,0.603165,0.02195305,0.073026,0.0851425,0.003684854,0.286247,14.961288
197,0.79839,0.63007,0.59083,0.0226226,0.0757945,0.088228,0.003728885,0.294135,15.405264
198,0.79553,0.6192,0.578295,0.02329665,0.078478,0.0911845,0.003774417,0.3023205,15.864984
199,0.792585,0.608195,0.56566,0.02398545,0.081018,0.0939375,0.00382149,0.3107885,16.339416
200,0.789555,0.59709,0.55297,0.02467875,0.0833895,0.0964605,0.003870104,0.319519,16.827336
